# Date,2022-06-09,¿ÀÈÄ 9:25
# MEAS MODE,C-V

Time [s],DC Voltage [V],Cp [F],D,Frequency [Hz],AC Voltage [Vrms]
0.0000,-1.000,182.287000E-12,99.570900E-3,10.000000E+3,0.050000
1.9766,-0.900,182.428000E-12,101.923000E-3,10.000000E+3,0.050000
3.9300,-0.800,182.712000E-12,97.868400E-3,10.000000E+3,0.050000
5.8838,-0.700,182.797000E-12,99.872500E-3,10.000000E+3,0.050000
7.8366,-0.600,182.720000E-12,99.633600E-3,10.000000E+3,0.050000
9.7898,-0.500,182.346000E-12,101.141000E-3,10.000000E+3,0.050000
11.7433,-0.400,182.724000E-12,99.335400E-3,10.000000E+3,0.050000
13.6967,-0.300,182.612000E-12,101.642000E-3,10.000000E+3,0.050000
15.6510,-0.200,182.136000E-12,100.283000E-3,10.000000E+3,0.050000
17.6046,-0.100,183.000000E-12,98.989500E-3,10.000000E+3,0.050000
19.5587,-0.000,182.719000E-12,99.764500E-3,10.000000E+3,0.050000
21.5099,0.100,182.882000E-12,98.617200E-3,10.000000E+3,0.050000
23.4637,0.200,182.304000E-12,98.711700E-3,10.000000E+3,0.050000
25.4178,0.300,182.555000E-12,98.145300E-3,10.000000E+3,0.050000
27.3706,0.400,182.502000E-12,100.252000E-3,10.000000E+3,0.050000
29.3237,0.500,182.490000E-12,98.783400E-3,10.000000E+3,0.050000
31.2766,0.600,182.853000E-12,99.226500E-3,10.000000E+3,0.050000
33.2304,0.700,182.535000E-12,100.228000E-3,10.000000E+3,0.050000
35.1837,0.800,184.239000E-12,94.277000E-3,10.000000E+3,0.050000
37.1586,0.900,182.411000E-12,98.181800E-3,10.000000E+3,0.050000
39.1509,1.000,182.570000E-12,99.369200E-3,10.000000E+3,0.050000
41.1041,0.900,182.696000E-12,100.896000E-3,10.000000E+3,0.050000
43.0566,0.800,182.570000E-12,100.340000E-3,10.000000E+3,0.050000
45.0093,0.700,182.661000E-12,99.405600E-3,10.000000E+3,0.050000
46.9626,0.600,182.590000E-12,98.829900E-3,10.000000E+3,0.050000
48.9158,0.500,184.333000E-12,93.855500E-3,10.000000E+3,0.050000
50.8895,0.400,182.395000E-12,98.335100E-3,10.000000E+3,0.050000
52.8798,0.300,182.806000E-12,96.409400E-3,10.000000E+3,0.050000
54.8330,0.200,182.771000E-12,100.387000E-3,10.000000E+3,0.050000
56.7863,0.100,182.537000E-12,101.730000E-3,10.000000E+3,0.050000
58.7386,-0.000,182.013000E-12,101.662000E-3,10.000000E+3,0.050000
60.6902,-0.100,182.932000E-12,102.075000E-3,10.000000E+3,0.050000
62.6442,-0.200,182.746000E-12,99.620200E-3,10.000000E+3,0.050000
64.5978,-0.300,184.551000E-12,94.299500E-3,10.000000E+3,0.050000
66.5715,-0.400,182.741000E-12,101.209000E-3,10.000000E+3,0.050000
68.5624,-0.500,182.636000E-12,100.208000E-3,10.000000E+3,0.050000
70.5735,-0.600,182.961000E-12,98.415500E-3,10.000000E+3,0.050000
72.5266,-0.700,182.459000E-12,98.592800E-3,10.000000E+3,0.050000
74.4805,-0.800,182.997000E-12,98.031400E-3,10.000000E+3,0.050000
76.4343,-0.900,182.564000E-12,102.545000E-3,10.000000E+3,0.050000
78.3876,-1.000,182.240000E-12,98.898100E-3,10.000000E+3,0.050000
