# Date,2022-06-09,¿ÀÈÄ 9:23
# MEAS MODE,C-V

Time [s],DC Voltage [V],Cp [F],D,Frequency [Hz],AC Voltage [Vrms]
0.0000,-1.000,210.874000E-12,67.615400E-3,1.000000E+3,0.050000
2.0144,-0.900,210.627000E-12,69.372300E-3,1.000000E+3,0.050000
4.0043,-0.800,210.952000E-12,65.405800E-3,1.000000E+3,0.050000
5.9942,-0.700,210.681000E-12,72.363000E-3,1.000000E+3,0.050000
8.0585,-0.600,210.804000E-12,67.771300E-3,1.000000E+3,0.050000
10.0494,-0.500,209.677000E-12,67.628000E-3,1.000000E+3,0.050000
12.0389,-0.400,211.712000E-12,74.483700E-3,1.000000E+3,0.050000
14.1033,-0.300,211.984000E-12,62.855800E-3,1.000000E+3,0.050000
16.0934,-0.200,209.984000E-12,72.834100E-3,1.000000E+3,0.050000
18.1584,-0.100,210.615000E-12,71.715200E-3,1.000000E+3,0.050000
20.1484,-0.000,206.231000E-12,96.710700E-3,1.000000E+3,0.050000
22.1846,0.100,210.193000E-12,74.758200E-3,1.000000E+3,0.050000
24.2744,0.200,209.902000E-12,74.243400E-3,1.000000E+3,0.050000
26.3397,0.300,209.604000E-12,71.518900E-3,1.000000E+3,0.050000
28.3299,0.400,207.034000E-12,92.265000E-3,1.000000E+3,0.050000
30.3686,0.500,209.978000E-12,64.931000E-3,1.000000E+3,0.050000
32.3846,0.600,209.948000E-12,66.861200E-3,1.000000E+3,0.050000
34.3745,0.700,210.875000E-12,71.044900E-3,1.000000E+3,0.050000
36.3650,0.800,210.611000E-12,69.341700E-3,1.000000E+3,0.050000
38.3546,0.900,209.447000E-12,69.274000E-3,1.000000E+3,0.050000
40.4186,1.000,211.651000E-12,68.254100E-3,1.000000E+3,0.050000
42.4087,0.900,209.622000E-12,72.968500E-3,1.000000E+3,0.050000
44.4728,0.800,209.556000E-12,76.048600E-3,1.000000E+3,0.050000
46.4627,0.700,210.765000E-12,68.853100E-3,1.000000E+3,0.050000
48.4539,0.600,208.845000E-12,74.745900E-3,1.000000E+3,0.050000
50.5178,0.500,211.254000E-12,65.964000E-3,1.000000E+3,0.050000
52.5817,0.400,210.339000E-12,65.397400E-3,1.000000E+3,0.050000
54.5718,0.300,210.699000E-12,74.625100E-3,1.000000E+3,0.050000
56.6359,0.200,211.118000E-12,72.936900E-3,1.000000E+3,0.050000
58.6259,0.100,210.152000E-12,69.757500E-3,1.000000E+3,0.050000
60.6156,-0.000,208.290000E-12,107.334000E-3,1.000000E+3,0.050000
62.6514,-0.100,210.398000E-12,65.401700E-3,1.000000E+3,0.050000
64.6658,-0.200,210.216000E-12,70.291000E-3,1.000000E+3,0.050000
66.6552,-0.300,210.270000E-12,68.180000E-3,1.000000E+3,0.050000
68.6451,-0.400,210.558000E-12,61.453100E-3,1.000000E+3,0.050000
70.6350,-0.500,212.052000E-12,69.380700E-3,1.000000E+3,0.050000
72.6986,-0.600,210.485000E-12,61.495700E-3,1.000000E+3,0.050000
74.6888,-0.700,210.363000E-12,71.947000E-3,1.000000E+3,0.050000
76.6781,-0.800,210.797000E-12,67.931300E-3,1.000000E+3,0.050000
78.7433,-0.900,212.144000E-12,65.470500E-3,1.000000E+3,0.050000
80.7333,-1.000,212.040000E-12,68.978300E-3,1.000000E+3,0.050000
