# Date,2022-06-09,¿ÀÈÄ 9:30
# MEAS MODE,C-V

Time [s],DC Voltage [V],Cp [F],D,Frequency [Hz],AC Voltage [Vrms]
0.0000,-1.000,183.393000E-12,98.170900E-3,10.000000E+3,0.500000
1.9240,-0.900,183.441000E-12,98.397800E-3,10.000000E+3,0.500000
3.8237,-0.800,183.406000E-12,98.352400E-3,10.000000E+3,0.500000
5.7226,-0.700,183.384000E-12,98.329600E-3,10.000000E+3,0.500000
7.6226,-0.600,183.360000E-12,98.425900E-3,10.000000E+3,0.500000
9.5217,-0.500,183.418000E-12,98.252100E-3,10.000000E+3,0.500000
11.4217,-0.400,183.405000E-12,98.252100E-3,10.000000E+3,0.500000
13.3214,-0.300,183.407000E-12,98.449800E-3,10.000000E+3,0.500000
15.2221,-0.200,183.392000E-12,98.366800E-3,10.000000E+3,0.500000
17.1214,-0.100,183.418000E-12,98.222700E-3,10.000000E+3,0.500000
19.0207,-0.000,183.432000E-12,98.349300E-3,10.000000E+3,0.500000
20.9184,0.100,183.399000E-12,98.317200E-3,10.000000E+3,0.500000
22.8174,0.200,183.404000E-12,98.102500E-3,10.000000E+3,0.500000
24.7166,0.300,183.399000E-12,98.617400E-3,10.000000E+3,0.500000
26.6148,0.400,183.422000E-12,98.179500E-3,10.000000E+3,0.500000
28.5151,0.500,183.432000E-12,98.247400E-3,10.000000E+3,0.500000
30.4146,0.600,183.459000E-12,98.350200E-3,10.000000E+3,0.500000
32.3134,0.700,183.429000E-12,98.350800E-3,10.000000E+3,0.500000
34.2704,0.800,183.430000E-12,98.431200E-3,10.000000E+3,0.500000
36.1699,0.900,183.413000E-12,98.434100E-3,10.000000E+3,0.500000
38.0691,1.000,183.429000E-12,98.348500E-3,10.000000E+3,0.500000
39.9687,0.900,183.418000E-12,98.410900E-3,10.000000E+3,0.500000
41.8677,0.800,183.373000E-12,98.329400E-3,10.000000E+3,0.500000
43.7668,0.700,183.416000E-12,98.277200E-3,10.000000E+3,0.500000
45.6659,0.600,183.436000E-12,98.242700E-3,10.000000E+3,0.500000
47.5649,0.500,183.407000E-12,98.333500E-3,10.000000E+3,0.500000
49.4647,0.400,183.425000E-12,98.329000E-3,10.000000E+3,0.500000
51.4221,0.300,183.386000E-12,98.377100E-3,10.000000E+3,0.500000
53.3797,0.200,183.398000E-12,98.453000E-3,10.000000E+3,0.500000
55.2787,0.100,183.417000E-12,98.327600E-3,10.000000E+3,0.500000
57.1777,-0.000,183.433000E-12,98.320900E-3,10.000000E+3,0.500000
59.0759,-0.100,183.405000E-12,98.383500E-3,10.000000E+3,0.500000
60.9757,-0.200,183.401000E-12,98.431100E-3,10.000000E+3,0.500000
62.8748,-0.300,183.454000E-12,98.445300E-3,10.000000E+3,0.500000
64.7748,-0.400,183.413000E-12,98.384600E-3,10.000000E+3,0.500000
66.7327,-0.500,183.406000E-12,98.427700E-3,10.000000E+3,0.500000
68.6903,-0.600,183.397000E-12,98.255200E-3,10.000000E+3,0.500000
70.5899,-0.700,183.415000E-12,98.455100E-3,10.000000E+3,0.500000
72.4895,-0.800,183.396000E-12,98.459500E-3,10.000000E+3,0.500000
74.3900,-0.900,183.415000E-12,98.481700E-3,10.000000E+3,0.500000
76.2896,-1.000,183.456000E-12,98.340100E-3,10.000000E+3,0.500000
