# Date,2022-06-09,¿ÀÈÄ 9:32
# MEAS MODE,C-V

Time [s],DC Voltage [V],Cp [F],D,Frequency [Hz],AC Voltage [Vrms]
0.0000,-1.000,183.486000E-12,98.188200E-3,10.000000E+3,1.000000
1.9224,-0.900,183.488000E-12,98.140400E-3,10.000000E+3,1.000000
3.8217,-0.800,183.492000E-12,98.163200E-3,10.000000E+3,1.000000
5.7203,-0.700,183.488000E-12,98.113600E-3,10.000000E+3,1.000000
7.6193,-0.600,183.492000E-12,98.129100E-3,10.000000E+3,1.000000
9.5179,-0.500,183.497000E-12,98.122400E-3,10.000000E+3,1.000000
11.4174,-0.400,183.494000E-12,98.143900E-3,10.000000E+3,1.000000
13.3165,-0.300,183.492000E-12,98.167400E-3,10.000000E+3,1.000000
15.2154,-0.200,183.492000E-12,98.156800E-3,10.000000E+3,1.000000
17.1149,-0.100,183.486000E-12,98.136100E-3,10.000000E+3,1.000000
19.0144,-0.000,183.493000E-12,98.138000E-3,10.000000E+3,1.000000
20.9114,0.100,183.490000E-12,98.091400E-3,10.000000E+3,1.000000
22.8104,0.200,183.494000E-12,98.115000E-3,10.000000E+3,1.000000
24.7093,0.300,183.491000E-12,98.115300E-3,10.000000E+3,1.000000
26.6095,0.400,183.484000E-12,98.137600E-3,10.000000E+3,1.000000
28.5083,0.500,183.505000E-12,98.118700E-3,10.000000E+3,1.000000
30.4073,0.600,183.493000E-12,98.161300E-3,10.000000E+3,1.000000
32.3065,0.700,183.491000E-12,98.140300E-3,10.000000E+3,1.000000
34.2046,0.800,183.499000E-12,98.227600E-3,10.000000E+3,1.000000
36.1032,0.900,183.491000E-12,98.145000E-3,10.000000E+3,1.000000
38.0023,1.000,183.501000E-12,98.142100E-3,10.000000E+3,1.000000
39.9010,0.900,183.501000E-12,98.140800E-3,10.000000E+3,1.000000
41.8004,0.800,183.497000E-12,98.144000E-3,10.000000E+3,1.000000
43.6992,0.700,183.497000E-12,98.181900E-3,10.000000E+3,1.000000
45.5980,0.600,183.501000E-12,98.152500E-3,10.000000E+3,1.000000
47.4971,0.500,183.502000E-12,98.181400E-3,10.000000E+3,1.000000
49.3959,0.400,183.498000E-12,98.164700E-3,10.000000E+3,1.000000
51.2944,0.300,183.493000E-12,98.177500E-3,10.000000E+3,1.000000
53.1929,0.200,183.502000E-12,98.113900E-3,10.000000E+3,1.000000
55.0913,0.100,183.503000E-12,98.153000E-3,10.000000E+3,1.000000
56.9913,-0.000,183.503000E-12,98.146500E-3,10.000000E+3,1.000000
58.8881,-0.100,183.504000E-12,98.143500E-3,10.000000E+3,1.000000
60.7874,-0.200,183.502000E-12,98.124400E-3,10.000000E+3,1.000000
62.6870,-0.300,183.498000E-12,98.145600E-3,10.000000E+3,1.000000
64.5852,-0.400,183.509000E-12,98.222300E-3,10.000000E+3,1.000000
66.4838,-0.500,183.498000E-12,98.190800E-3,10.000000E+3,1.000000
68.3828,-0.600,183.504000E-12,98.220800E-3,10.000000E+3,1.000000
70.2821,-0.700,183.510000E-12,98.209400E-3,10.000000E+3,1.000000
72.1805,-0.800,183.506000E-12,98.200900E-3,10.000000E+3,1.000000
74.0793,-0.900,183.506000E-12,98.215100E-3,10.000000E+3,1.000000
75.9788,-1.000,183.513000E-12,98.196100E-3,10.000000E+3,1.000000
