# Date,2022-06-09,¿ÀÈÄ 9:18
# MEAS MODE,C-V

Time [s],DC Voltage [V],Cp [F],D,Frequency [Hz],AC Voltage [Vrms]
0.0000,-1.000,144.345000E-12,101.011000E-3,10.000000E+3,1.000000
1.9233,-0.900,144.344000E-12,101.026000E-3,10.000000E+3,1.000000
3.8224,-0.800,144.342000E-12,101.039000E-3,10.000000E+3,1.000000
5.7215,-0.700,144.342000E-12,101.020000E-3,10.000000E+3,1.000000
7.6207,-0.600,144.342000E-12,101.031000E-3,10.000000E+3,1.000000
9.5196,-0.500,144.342000E-12,101.019000E-3,10.000000E+3,1.000000
11.4191,-0.400,144.346000E-12,101.014000E-3,10.000000E+3,1.000000
13.3185,-0.300,144.345000E-12,101.029000E-3,10.000000E+3,1.000000
15.2170,-0.200,144.341000E-12,101.048000E-3,10.000000E+3,1.000000
17.1164,-0.100,144.344000E-12,101.039000E-3,10.000000E+3,1.000000
19.0154,-0.000,144.342000E-12,101.029000E-3,10.000000E+3,1.000000
20.9122,0.100,144.340000E-12,101.013000E-3,10.000000E+3,1.000000
22.8118,0.200,144.344000E-12,100.986000E-3,10.000000E+3,1.000000
24.7110,0.300,144.339000E-12,101.024000E-3,10.000000E+3,1.000000
26.6104,0.400,144.340000E-12,101.015000E-3,10.000000E+3,1.000000
28.5097,0.500,144.339000E-12,101.027000E-3,10.000000E+3,1.000000
30.4083,0.600,144.341000E-12,101.010000E-3,10.000000E+3,1.000000
32.3072,0.700,144.342000E-12,101.047000E-3,10.000000E+3,1.000000
34.2063,0.800,144.341000E-12,101.016000E-3,10.000000E+3,1.000000
36.1053,0.900,144.340000E-12,101.016000E-3,10.000000E+3,1.000000
38.0057,1.000,144.340000E-12,101.020000E-3,10.000000E+3,1.000000
39.9049,0.900,144.340000E-12,101.008000E-3,10.000000E+3,1.000000
41.8038,0.800,144.342000E-12,101.003000E-3,10.000000E+3,1.000000
43.7024,0.700,144.338000E-12,101.070000E-3,10.000000E+3,1.000000
45.6010,0.600,144.334000E-12,101.046000E-3,10.000000E+3,1.000000
47.5001,0.500,144.338000E-12,101.031000E-3,10.000000E+3,1.000000
49.3991,0.400,144.334000E-12,101.061000E-3,10.000000E+3,1.000000
51.2982,0.300,144.340000E-12,101.009000E-3,10.000000E+3,1.000000
53.1970,0.200,144.334000E-12,101.038000E-3,10.000000E+3,1.000000
55.0960,0.100,144.335000E-12,101.045000E-3,10.000000E+3,1.000000
56.9955,-0.000,144.334000E-12,101.033000E-3,10.000000E+3,1.000000
58.8930,-0.100,144.334000E-12,101.009000E-3,10.000000E+3,1.000000
60.7918,-0.200,144.329000E-12,101.020000E-3,10.000000E+3,1.000000
62.6908,-0.300,144.332000E-12,101.018000E-3,10.000000E+3,1.000000
64.5902,-0.400,144.324000E-12,101.045000E-3,10.000000E+3,1.000000
66.4894,-0.500,144.328000E-12,101.028000E-3,10.000000E+3,1.000000
68.3889,-0.600,144.327000E-12,101.022000E-3,10.000000E+3,1.000000
70.2879,-0.700,144.329000E-12,101.037000E-3,10.000000E+3,1.000000
72.1869,-0.800,144.329000E-12,101.025000E-3,10.000000E+3,1.000000
74.0858,-0.900,144.328000E-12,101.034000E-3,10.000000E+3,1.000000
75.9858,-1.000,144.330000E-12,101.022000E-3,10.000000E+3,1.000000
