# Date,2022-06-09,¿ÀÈÄ 9:13
# MEAS MODE,C-V

Time [s],DC Voltage [V],Cp [F],D,Frequency [Hz],AC Voltage [Vrms]
0.0000,-1.000,122.721000E-12,118.185000E-3,100.000000E+3,0.050000
1.9765,-0.900,122.726000E-12,118.297000E-3,100.000000E+3,0.050000
3.9291,-0.800,122.747000E-12,118.121000E-3,100.000000E+3,0.050000
5.8821,-0.700,122.766000E-12,118.647000E-3,100.000000E+3,0.050000
7.8345,-0.600,122.757000E-12,118.547000E-3,100.000000E+3,0.050000
9.7865,-0.500,122.761000E-12,118.585000E-3,100.000000E+3,0.050000
11.7396,-0.400,122.774000E-12,118.383000E-3,100.000000E+3,0.050000
13.6923,-0.300,122.714000E-12,118.500000E-3,100.000000E+3,0.050000
15.6457,-0.200,122.761000E-12,117.973000E-3,100.000000E+3,0.050000
17.5982,-0.100,122.706000E-12,118.787000E-3,100.000000E+3,0.050000
19.5344,-0.000,122.741000E-12,118.514000E-3,100.000000E+3,0.050000
21.5064,0.100,122.797000E-12,118.328000E-3,100.000000E+3,0.050000
23.4587,0.200,122.759000E-12,118.357000E-3,100.000000E+3,0.050000
25.4115,0.300,122.758000E-12,118.412000E-3,100.000000E+3,0.050000
27.3631,0.400,122.748000E-12,118.487000E-3,100.000000E+3,0.050000
29.3176,0.500,122.752000E-12,118.423000E-3,100.000000E+3,0.050000
31.2708,0.600,122.731000E-12,118.399000E-3,100.000000E+3,0.050000
33.2234,0.700,122.704000E-12,118.458000E-3,100.000000E+3,0.050000
35.1758,0.800,122.759000E-12,118.393000E-3,100.000000E+3,0.050000
37.1285,0.900,122.774000E-12,118.805000E-3,100.000000E+3,0.050000
39.0809,1.000,122.736000E-12,118.284000E-3,100.000000E+3,0.050000
41.0338,0.900,122.770000E-12,118.430000E-3,100.000000E+3,0.050000
42.9865,0.800,122.715000E-12,118.929000E-3,100.000000E+3,0.050000
44.9232,0.700,122.704000E-12,119.466000E-3,100.000000E+3,0.050000
46.8801,0.600,122.731000E-12,118.757000E-3,100.000000E+3,0.050000
48.8537,0.500,122.681000E-12,118.993000E-3,100.000000E+3,0.050000
50.7898,0.400,122.761000E-12,118.617000E-3,100.000000E+3,0.050000
52.7625,0.300,122.725000E-12,118.240000E-3,100.000000E+3,0.050000
54.7164,0.200,122.787000E-12,118.719000E-3,100.000000E+3,0.050000
56.6687,0.100,122.735000E-12,118.435000E-3,100.000000E+3,0.050000
58.6214,-0.000,122.707000E-12,119.272000E-3,100.000000E+3,0.050000
60.5565,-0.100,122.754000E-12,118.402000E-3,100.000000E+3,0.050000
62.5304,-0.200,122.782000E-12,118.498000E-3,100.000000E+3,0.050000
64.4837,-0.300,122.639000E-12,119.417000E-3,100.000000E+3,0.050000
66.4201,-0.400,122.734000E-12,118.761000E-3,100.000000E+3,0.050000
68.3765,-0.500,122.740000E-12,118.525000E-3,100.000000E+3,0.050000
70.3491,-0.600,122.679000E-12,119.129000E-3,100.000000E+3,0.050000
72.2859,-0.700,122.747000E-12,117.875000E-3,100.000000E+3,0.050000
74.2595,-0.800,122.720000E-12,118.601000E-3,100.000000E+3,0.050000
76.2130,-0.900,122.743000E-12,118.020000E-3,100.000000E+3,0.050000
78.1665,-1.000,122.733000E-12,117.792000E-3,100.000000E+3,0.050000
