# Date,2022-06-09,¿ÀÈÄ 9:08
# MEAS MODE,C-V

Time [s],DC Voltage [V],Cp [F],D,Frequency [Hz],AC Voltage [Vrms]
0.0000,-1.000,167.642000E-12,71.421700E-3,1.000000E+3,0.050000
2.1153,-0.900,163.687000E-12,87.437900E-3,1.000000E+3,0.050000
4.1531,-0.800,162.794000E-12,88.446300E-3,1.000000E+3,0.050000
6.1431,-0.700,163.609000E-12,87.246700E-3,1.000000E+3,0.050000
8.1333,-0.600,163.764000E-12,88.823100E-3,1.000000E+3,0.050000
10.1232,-0.500,163.441000E-12,86.594100E-3,1.000000E+3,0.050000
12.1136,-0.400,163.782000E-12,85.254300E-3,1.000000E+3,0.050000
14.1043,-0.300,163.978000E-12,89.995100E-3,1.000000E+3,0.050000
16.0943,-0.200,164.315000E-12,85.325700E-3,1.000000E+3,0.050000
18.1595,-0.100,163.960000E-12,84.219500E-3,1.000000E+3,0.050000
20.1494,-0.000,162.337000E-12,95.850100E-3,1.000000E+3,0.050000
22.1380,0.100,164.212000E-12,90.936200E-3,1.000000E+3,0.050000
24.1284,0.200,162.444000E-12,85.639800E-3,1.000000E+3,0.050000
26.1184,0.300,164.796000E-12,87.741200E-3,1.000000E+3,0.050000
28.1085,0.400,163.574000E-12,80.815500E-3,1.000000E+3,0.050000
30.0976,0.500,167.244000E-12,73.007900E-3,1.000000E+3,0.050000
32.1159,0.600,164.072000E-12,92.524100E-3,1.000000E+3,0.050000
34.1535,0.700,162.421000E-12,83.465300E-3,1.000000E+3,0.050000
36.1437,0.800,167.007000E-12,72.620200E-3,1.000000E+3,0.050000
38.1596,0.900,164.344000E-12,88.841300E-3,1.000000E+3,0.050000
40.1976,1.000,168.222000E-12,79.100200E-3,1.000000E+3,0.050000
42.2887,0.900,163.111000E-12,89.731800E-3,1.000000E+3,0.050000
44.3270,0.800,162.972000E-12,88.943800E-3,1.000000E+3,0.050000
46.3167,0.700,164.102000E-12,80.174300E-3,1.000000E+3,0.050000
48.3065,0.600,163.814000E-12,90.537300E-3,1.000000E+3,0.050000
50.2968,0.500,163.448000E-12,89.792800E-3,1.000000E+3,0.050000
52.2868,0.400,162.917000E-12,85.912500E-3,1.000000E+3,0.050000
54.2767,0.300,163.814000E-12,86.603500E-3,1.000000E+3,0.050000
56.2669,0.200,163.097000E-12,86.871900E-3,1.000000E+3,0.050000
58.2567,0.100,164.327000E-12,91.831700E-3,1.000000E+3,0.050000
60.2459,-0.000,163.137000E-12,90.575900E-3,1.000000E+3,0.050000
62.2336,-0.100,164.352000E-12,88.442300E-3,1.000000E+3,0.050000
64.2235,-0.200,163.829000E-12,83.694600E-3,1.000000E+3,0.050000
66.2140,-0.300,164.177000E-12,82.813600E-3,1.000000E+3,0.050000
68.2039,-0.400,161.996000E-12,87.726700E-3,1.000000E+3,0.050000
70.1940,-0.500,164.360000E-12,89.541600E-3,1.000000E+3,0.050000
72.1849,-0.600,163.814000E-12,87.866300E-3,1.000000E+3,0.050000
74.1740,-0.700,167.254000E-12,68.496100E-3,1.000000E+3,0.050000
76.2650,-0.800,163.047000E-12,93.563200E-3,1.000000E+3,0.050000
78.3031,-0.900,164.484000E-12,82.968500E-3,1.000000E+3,0.050000
80.2923,-1.000,163.924000E-12,83.865300E-3,1.000000E+3,0.050000
